Name,PassAtt,PassCmp,PassYds,PassTDs,PassInt,RushAtt,TopRushAtt,RushYds,TopRushYds,RushTDs,TopRushTDs,QbRuYds,TopTwoWrRec,TopTwoWrYds,TopTwoWrTDs,TopTeRec,TopTeYds,TopTeTDs,TopRbRecs,TopRbReYds,TopRushAttPrct,TopRushYdsPrct,TopRushTDsPrct,StartingWrRecPrct,StartingWrYdsPrct,StartingWrTDsPrct,TopTeRecPrct,TopTeYdsPrct,TopTeTdsPrct,TopRbRecPrct,TopRbReYdsPrct,CompletionPrct,YdsPerPass,YdsPerRush,TopWrRec,TopWrYds,TopWrTDs,TopWrRecPrct,TopWrYdsPrct,TopWrTDsPrct,Exp,Team,Position
Adam Gase,607,399,4779,40,12,461,218,1854,898,15,8,-24,179,2718,20,53,489,12,44,389,46.58%,48.44%,53.33%,38.83%,48.78%,45.45%,14.10%,11.42%,21.82%,13.02%,9.83%,65.73%,7.873,4.029,92,1430,11,19.96%,25.66%,25.45%,3,MIA,HC
Andy Reid,548,330,3903,23,13,420,206,1918,936,14,6,355,110,1433,10,42,511,4,54,402,48.43%,46.47%,46.15%,33.63%,39.74%,44.44%,13.67%,12.31%,15.63%,16.04%,12.22%,59.57%,6.762,4.567,62,833,7,18.80%,22.46%,25.93%,17,KC,HC
Ben McAdoo,615,387.5,4487,33,14,426,206,1606,792,9,5,44.5,157.5,2245,18,52.5,543.5,4.5,44.5,360.5,48.36%,49.31%,56.92%,40.66%,50.03%,54.17%,13.58%,12.12%,14.17%,11.44%,8.02%,63.01%,7.297,3.781,93.5,1377.5,12.5,24.12%,30.69%,38.06%,2,NYG,OC
Bill Belichick,555,331,3772,25,13,451,185,1727,733,15,7,69,137,1689,10,29,389,4,47,427,41.32%,41.24%,48.00%,40.48%,43.20%,37.93%,10.24%,10.15%,16.00%,12.37%,9.92%,62.03%,7.052,3.943,83,906,7,23.47%,24.31%,24.00%,21,NE,HC
Bill Musgrave,515,305,3421,18,17,446,266,2073,1224,13,6,208,124,1530,8,32,344,2,36,269,65.96%,66.16%,46.15%,40.66%,44.09%,44.44%,9.57%,9.44%,11.76%,10.99%,7.39%,59.52%,6.643,4.310,74,967,6,22.79%,25.91%,26.47%,7,OAK,OC
Bill O'Brien,612,358,4079,29,12,472,183,1764,698,12,8,106,161,2179,14,20,251,2,26,227,41.32%,40.32%,61.11%,44.13%,53.42%,40.91%,6.10%,6.15%,6.90%,7.26%,5.57%,60.82%,7.134,3.922,111,1521,9,30.42%,34.97%,27.27%,3,HOU,HC
Brad Childress,543.5,323,3504,19,15.5,441.5,268,1930,1122.5,15,9,177.5,100,1383.5,9.5,44,449.5,3,44.5,417.5,59.59%,55.27%,52.27%,33.04%,37.54%,50.00%,14.35%,12.10%,14.29%,14.41%,12.04%,58.55%,6.675,4.381,55.5,801.5,5.5,19.36%,22.08%,31.01%,10,KC,OC
Bruce Arians,537.5,329,3940,22.5,15,431,214,1680.5,814,10.5,5.5,96.5,129.5,1929.5,12,40.5,483,2.5,37.5,311.5,51.03%,48.74%,57.78%,41.10%,50.66%,52.17%,14.09%,13.16%,9.52%,8.72%,5.81%,62.81%,7.733,4.085,76.5,1070,7.5,23.88%,27.55%,29.92%,12,ARI,HC
Chan Gailey,507,295,3358,21,18,473,294,1921,1151,15,7,279,116,1651,10,20,215,2,30,263,60.95%,58.17%,57.89%,40.00%,46.86%,50.00%,7.17%,6.45%,10.00%,10.47%,7.52%,57.87%,6.712,4.170,76,1046,7,27.12%,30.50%,31.82%,13,NYJ,OC
Chip Kelly,621,384,4406,27,18,474,312,1992,1319,16,6,155,129,2167,17,58,702,3,52,388,62.80%,62.63%,40.00%,39.58%,47.81%,53.13%,15.10%,15.32%,13.04%,13.58%,8.94%,61.84%,7.377,4.203,85,1318,9,22.14%,28.77%,34.78%,3,SF,HC
